id,question,choices,answer
573,These are events when groups of sellers meet collectively with the key purpose of attracting buyers:,"['Direct mail campaigns.' 'Teleconferencing.' 'Sales promotions.'
 'Public relations activities.' 'Press conference.'
 'Mass media advertising.' 'Product launches.' 'Market research.'
 'Exhibitions.' 'Social media campaigns.']",I
209,"Calculate the interest rate (between 0 and 1) for an account that started with $5,000 and now has $13,000 and has been compounded annually for the past 12 years. Answer with the numeric value.","['0.0695' '0.0587' '0.0871' '0.0500' '0.0654' '0.0828' '0.0999' '0.1100'
 '0.0756' '0.0932']",F
133,What are characteristics of a programmed decision?,"['Uncertain and low risk' 'Non-routine and complex' 'Low risk and certain'
 'High risk and uncertain' 'Uncertain and non-routine' 'Risky and routine'
 'Complex and risky' 'Certain and complex' 'Complex and certain'
 'Routine and non-complex']",J
546,"WQLP radio station just purchased a stereo system for $8,400. It has an estimated life of 6 years and a residual value of $1,200. Due to the fast wear of needles, there is an additional 20% depreciation in the first year. Find the total amount the stereo system depreciated in the first year using the straight-line basis.","['$2,600' '$2,040' '$1,440' '$3,360' '$5,520' '$1,680' '$1,020' '$3,000'
 '$1,200' '$920']",A
724,A desk valued at $125 can be purchased on the installment plan with a down payment of $16.25 and 16 monthly payments of $7.50. Calculate the interest rate involved.,"['16.3%' '17.8%' '19.9%' '14.6%' '11.7%' '13.5%' '15.2%' '20.6%' '18.5%'
 '12.4%']",D
199,___________ is based on the idea that customer expectations of the service they will receive shape their perception of the actual service encounter.,"['Service perception.' 'Service expectation.' 'Service action.'
 'Service adjustment.' 'Service recovery.' 'Service performance.'
 'Service delivery.' 'Service satisfaction.' 'Service encounter.'
 'Service quality.']",J
1056,Which of the following is not a warrantless search exception?,"['Stop and frisk' 'Incident to a lawful arrest' 'Emergency situation'
 'Vehicle exception' 'Cold pursuit' 'Public place exception' 'Consent'
 'Plain view' 'Electronic surveillance']",E
595,"Using the table below , find the federal income tax for Jerry Kohen, who has an annual income of $8,975. He is married, has two dependent children, and will be filing a joint tax return with his wife. PARTIAL TAX TABLE STANDARD DEDUCTION, FOUR EXEMPTIONS If adjusted gross income is And you are Single, not head of household Married, filing joint return At least But less than $4950 $ 5000 $ 96 $ 95 5950 6000 255 241 6950 7000 438 398 7950 8000 628 565 8950 9000 822 739 9950 10,000 1001 901",['$628' '$255' '$241' '$739' '$1001' '$901' '$565' '$96' '$822' '$398'],D
915,"A resident in an exclusive residential area is a marine biologist. To aid in his study of sharks, he had a large tank built in his backyard in which he placed a great white shark. Aside from a smell that emanated from the tank, some neighbors were concerned and afraid to let their children outside for fear that they would wander onto the resident's property. In order to convince his neighbors that they had nothing to fear, the resident invited them over to view the shark tank. While a neighbor was standing near the tank, the shark splashed its tail, and the neighbor got very wet. The neighbor, who had a cold, developed bronchitis. If the neighbor sues the resident for damages incurred from being drenched by the shark and bases her suit on strict liability, she will most likely","['not recover, because she suffered injury only because she had a cold and, therefore, was unusually vulnerable to harm from being splashed with water.'
 'not recover, because the resident had taken all necessary precautions to ensure the shark could not harm anyone.'
 'recover, because the resident intentionally placed the shark in an area where it could potentially harm others.'
 ""not recover, because the development of bronchitis was not a direct result of the resident's actions.""
 'recover, because the possessor of wild animals is strictly liable for all injuries caused to others by the animals.'
 ""not recover, because she willingly chose to visit the resident's property and view the shark tank.""
 'not recover, because she did not suffer the type of harm normally inflicted by a shark.'
 'recover, because the smell from the shark tank was a nuisance.'
 'recover, because the resident knowingly kept a dangerous wild animal in a residential area.'
 'recover, because the resident failed to warn her of the potential risk of being splashed by the shark.']",G
1042,"A salesman, who had worked 20 years for the same company, was suddenly terminated for no apparent reason. Thereafter, the salesman sued the company, alleging age discrimination. At trial, he wants to call an employee of the company as an adverse witness. The salesman seeks to have the employee testify that she was present at a company board meeting when the company's president allegedly said, ""Now, I'm sure that everyone agrees that the salesman is too old, and he really doesn't typify the image we want our employees to project. "" It is the common practice of the company to tape record all such board meetings. Moreover, it is customary for the company's secretary to transcribe the tapes following the board meetings. Upon objection by the company's attomey, the employee's proposed testimony will be held","[""inadmissible, because the secretary's transcribed notes are the best evidence.""
 ""inadmissible, because the president's statement is not relevant to the case.""
 'admissible, because the employee was present during the board meeting.'
 ""admissible, because the president's statement is direct evidence of age discrimination.""
 ""admissible, because the president's statement was an admission by a company representative.""
 'inadmissible, because the employee is biased against the company.'
 'inadmissible, because the tape of the meeting is the best evidence.'
 ""admissible, because the employee's testimony corroborates the salesman's claim.""
 ""inadmissible, because the employee's testimony is hearsay.""
 ""admissible, because the employee's testimony is crucial to proving age discrimination.""]",E
135,"For a two-period binomial model for stock prices, you are given: (i) Each period is 6 months. (ii) The current price for a nondividend-paying stock is $70.00. (iii) u =1.181, where u is one plus the rate of capital gain on the stock per period if the price goes up. (iv) d = 0.890 , where d is one plus the rate of capital loss on the stock per period if the price goes down. (v) The continuously compounded risk-free interest rate is 5%. What is the current price of a one-year American put option on the stock with a strike price of $80.00.","['5.95' '8.40' '17.30' '12.50' '20.25' '25.00' '13.80' '22.15' '10.75'
 '15.50']",I
889,What is the major difference between naturalism and positivism?,"['Naturalism concerns the underpinning values of the international society, while positivism the international rules as such'
 'Naturalism is a contemporary theory, while positivism is a traditional theory'
 'On the one hand, naturalism is based on a set of rules that are of universal and objective scope and on the other hand, positivism is based on a structured and coherent legal system that is created by States in light of their interests and desires'
 'Naturalism argues that laws are inherently subjective and influenced by personal beliefs, while positivism argues that laws are objective and universally applicable'
 'Naturalism focuses on the interpretation of law, while positivism focuses on the enforcement of law'
 'Naturalism is a theory of law that is subjective and varies from person to person, while positivism is a theory of law that is objective and the same for everyone.'
 'Naturalism is a school of thought advocated outside of Europe, while positivism is Euro-centric theory'
 'Naturalism is a theory of law that relies on the inherent morality of a society, while positivism relies on the codification of laws by a governing body'
 'While naturalism serves only the theory human rights law, positivism has a wider and more general scope'
 'Naturalism is concerned with the moral aspects of law, while positivism is concerned with the legal aspects of law']",C
84,What theory is built around the principle that 'people make choices regarding how to behave based on values and beliefs'?,"['Social Learning' 'Contingency' 'Operant Conditioning' 'Evolutionary'
 'Classical' 'Expectancy' 'Psychoanalytic' 'Instrumental'
 'Cognitive Dissonance' 'Humanistic']",F
227,"What is the difference in annual premiums of a $10,000 20-payment life policy purchased at age 30, as opposed to the same policy purchased at age 20?","['$48.90' '$40.05' '$35.50' '$75.20' '$10.00' '$58.30' '$19.84' '$63.10'
 '$24.73' '$12.65']",A
110,Determine the number of men needed to build a boat in 77 days if it takes 36 men 132 days to build one.,"['84 men' '36 men' '99 men' '132 men' '45 men' '70 men' '62 men' '50 men'
 '77 men' '120 men']",G
567,"_____ is a key driving force shaping the current and future state of business ethics, in particular regarding _____, ______ and _____ related issues.","['Globalisation, Technological, Financial, Accountability'
 'Globalisation, Economic, Legal, Accountability'
 'Privatisation, Technological, Financial, Accountability'
 'Privatisation, Cultural, Legal, Accountability'
 'Nationalisation, Cultural, Environmental, Accountability'
 'Nationalisation, Technological, Environmental, Accountability'
 'Nationalisation, Economic, Legal, Accountability'
 'Privatisation, Economic, Environmental, Accountability'
 'Globalisation, Cultural, Financial, Environmental'
 'Globalisation, Cultural, Legal, Accountability']",J
453,"Firestone's Clothing Store had an August 1 inventory of $2,300. During August, new merchandise purchases totaled $1,125,and sales were $3,485. If the margin on sales was 18%, estimate the final inventory on August 31.","['$800.00' '$567.30' '$1,500.00' '$627.30' '$940.00' '$2,000.00'
 '$1,938.00' '$2,857.70' '$1,725.00' '$3,485']",B
259," _______ can be a likened to their natural counterparts, comprising of a balanced network of interdependent organisms and their environments thus adding value to sustainability thinking due to the consideration of companies and industries as being bound together, and interdependent due to all kinds of resources and wastes.","['Corporate ecosystems' 'Natural supply chains' 'Industrial ecosystems'
 'Corporate supply chains' 'Ecological ecosystems' 'Corporate food webs'
 'Industrial supply loops' 'Industrial food webs'
 'Ecological supply loops' 'Industrial food chains']",C
840,"A1 and Bob have invested $70,000 and $90,000 respectively, in a business. The profits and losses are shared, so that each partner receives 8% interest on his investment and 1/2 of the balance. If the business earns a $10,000 profit, what is each partner's share?","[""A1's share: $5,600, Bob's share: $7,200""
 ""A1's share: $4,200, Bob's share: $5,800""
 ""A1's share: $3,500, Bob's share: $4,500""
 ""A1's share: $2,800, Bob's share: $3,600""
 ""A1's share: $3,800, Bob's share: $5,200""
 ""A1's share: $4,800, Bob's share: $6,400""
 ""A1's share: $4,500, Bob's share: $6,500""
 ""A1's share: $3,000, Bob's share: $4,000""
 ""A1's share: $3,600, Bob's share: $5,400""
 ""A1's share: $4,000, Bob's share: $6,000""]",B
288,"Two power line construction routes are being considered. Route A is 15 miles long and goes around a lake. Each mile will cost $6,000 to build and $2,000 a year to maintain. At the end of fifteen years, each mile will have a salvage value of $3,000. Route B is an underwater line that cuts 5 miles across the lake. Construction costs will be $31,000 per mile and annual maintenance costs, $400 per mile. The salvage value at the end of fifteen years will be $6,000 per mile. Assuming interest is 8% and taxes are 3% of the construction costs of each power line, compare the annual costs of Route A and Route B for the first year.","['$41,558 for Route A and $23,654 for Route B'
 '$45,000 for Route A and $30,000 for Route B'
 '$100,000 for Route A and $50,000 for Route B'
 '$40,000 for Route A and $20,000 for Route B'
 '$80,000 for Route A and $40,000 for Route B'
 '$35,000 for Route A and $25,000 for Route B'
 '$70,000 for Route A and $35,000 for Route B'
 '$60,000 for Route A and $155,000 for Route B'
 '$90,000 for Route A and $155,000 for Route B'
 '$120,000 for Route A and $75,000 for Route B']",A
868,"A state has recently enacted a statute requiring all prospective voters in state elections who wish to write-in a candidate to print the candidate's full name, and designate the office for which the candidate is running. The statute provides that such information must be written on the ballot in ink inan appropriate space. A write-in candidate is a German-American and is of the opinion that he needs a large turnout of German voters in order to win the election. As a result, his campaign manager decides to mail to every registered German voter a tear-off sticker, which bears the candidate's name and office for which he is running. Since many native German people are not proficient in reading and writing English, the campaign manager believes that many of the voters will have difficulty writing the candidate's name and office on the ballot. As a result, the campaign manager has mounted an extensive media campaign to inform voters on how to apply the stickers to the ballot. Five months prior to the election an election official notifies the candidate's campaign committee that the tear-off stickers do not comply with the state statute. In her letter, the official explains that state election officials are of the opinion that it is necessary for potential voters to write the candidate's name in ink. Therefore, she concludes that the stickers do not comply with statutory requirements. Three weeks later, the candidate filed suit in federal district court against state election officials, claiming that their interpretation of the state statute violates the U. S. Constitution. Which of the following sets forth the strongest constitutional argument the candidate could make against the interpretation of the statute by the state officials?","['It unreasonably discriminates against German voters who lack a proficiency in the English language.'
 'It unreasonably interferes with the exclusive federal election power as embodied in the Fifteenth Amendment.'
 'It goes against the spirit of the Twenty-fourth Amendment by effectively imposing a ""literacy tax.""'
 'It unreasonably discriminates against non-English speaking voters in general.'
 'It violates the Equal Protection Clause by treating write-in candidates differently.'
 'It unreasonably discriminates against write-in candidates for public office.'
 'It unreasonably limits the means by which a candidate can campaign, infringing on democratic practices.'
 'It unreasonably restricts freedom of speech as guaranteed by the First Amendment.'
 'It unreasonably interferes with the 1965 Voting Rights Act outlawing literacy tests.'
 'It interferes with the right to vote as guaranteed by the Nineteenth Amendment.']",F
122,"The average salary of the Bedford Manufacturing Co. rose 60% during a 10-year period. This rise amounted to $42.50 a week. (a) Find the average weekly salary at the beginning of the 10-year period, and (b) at the end of the 10-year period.","['$75.83, $118.33' '$90.83, $133.33' '$80.83, $123.33' '$55.83, $98.33'
 '$50.83, $93.33' '$70.83, $113.33' '$45.83, $88.33' '$85.83, $128.33'
 '$60.83, $103.33' '$65.83, $108.33']",F
955,"A law in one state forbids the transportation or sale of tomatoes in the state that have a more than 10% ""genetic engineering factor."" The U.S. Department of Agriculture does not use or mention genetic engineering factors in its standards for the sale and transportation of tomatoes. Tomato growers in a second state wish to ship tomatoes for sale into the first state but its tomatoes are in compliance only with the federal standards. The tomato growers' association in the second state brought an injunctive action in federal court against the agricultural department of the first state to enjoin enforcement of the genetic engineering rule on the basis of federal preemption. According to U.S. Supreme Court precedent, how will the courts decide the preemption claim?","[""There is no preemption because the first state's law does not contradict the federal law and both laws could be complied with simultaneously.""
 'When it comes to fresh produce, federal laws will always preempt state laws, and the injunction will be granted for that reason.'
 'The injunction will be granted because tomatoes that are in compliance with federal law never have to be approved also under a state law.'
 'Preemption does not apply here because agricultural regulations are generally left to the states.'
 ""The first state's law sets standards that interfere impermissibly with the second state's law and therefore the first state's law is preempted.""
 ""The injunction will be granted because the first state's law contradicts the intent of Congress in setting uniform national standards.""
 'The injunction will be granted because the federal law implicitly preempts any state law on the same subject matter.'
 ""The injunction will be granted because the first state's law is violating the Commerce Clause by affecting interstate commerce.""
 ""There is preemption because the first state's law is more stringent than federal law and therefore it cannot coexist.""
 ""The injunction will not be granted because the first state's law is a legitimate exercise of its police powers to protect public health.""]",A
410,"A new sofa, valued at $547.50 was purchased on the installment plan with a 20% down payment, and the remainder to be paid off in 36 months. If 20% of the unpaid balance was added on as a service charge, what was the amount of each of the monthly payments?","['$21.60' '$16.60' '$18.60' '$14.60' '$13.60' '$19.60' '$15.60' '$20.60'
 '$22.60' '$17.60']",D
825,"The owners of independent gasoline stations in a community meet secretly and agree to keep their prices high to protect their profitability. If their plan is discovered and they are charged with a crime, they could be","['found guilty under the Sherman Antitrust Act and face prison time'
 'found guilty under the Robinson-Patman Act and face prison time'
 'found guilty under the Magnuson-Moss Warranty Act and face large fines'
 'found not guilty because they did not engage in any form of price fixing'
 'found guilty under the Adamson Act and face prison time and fines'
 'found guilty under the Clayton Act and face both prison time and fines'
 'found not guilty because there is no law against price collusion in this industry'
 'found guilty under the Dodd-Frank Wall Street Reform and Consumer Protection Act and face fines'
 'found not guilty because retailers are allowed to set their own price levels'
 'found guilty under the Federal Trade Commission Act and face fines']",A
796,"A publisher has fixed daily costs of $300. His books sell for $1.00 a piece, and they cost him 75\textcent a piece. Find the breakeven point.","['1,200 books' '2,200 books' '1,000 books' '700 books' '3,000 books'
 '2,500 books' '800 books' '1,800 books' '2,000 books' '1,500 books']",A
801,"Assume that the following charges (flat rates) are made on $500 for a year and that the loan in each case is to be repaid in 12 equal monthly installments: (a) 3% , (b) 5%. What is the monthly payment and the true annual interest rate that the borrower is paying in each case? (Record interest rate correct to the nearest tenth of 1%.)","['Monthly payments: $43.92 at 3% and $42.75 at 5%; True annual interest rates: 5.2% at 3% and 9.5% at 5%'
 'Monthly payments: $42.92 at 3% and $43.75 at 5%; True annual interest rates: 5.5% at 3% and 9.2% at 5%'
 'Monthly payments: $41.67 at 3% and $44.17 at 5%; True annual interest rates: 6.8% at 3% and 10.9% at 5%'
 'Monthly payments: $42.50 at 3% and $43.33 at 5%; True annual interest rates: 4.8% at 3% and 8.7% at 5%'
 'Monthly payments: $41.92 at 3% and $44.75 at 5%; True annual interest rates: 6.5% at 3% and 10.2% at 5%'
 'Monthly payments: $41.25 at 3% and $45.42 at 5%; True annual interest rates: 3.8% at 3% and 7.9% at 5%'
 'Monthly payments: $45.00 at 3% and $40.00 at 5%; True annual interest rates: 7.5% at 3% and 12.0% at 5%'
 'Monthly payments: $43.75 at 3% and $42.92 at 5%; True annual interest rates: 5.0% at 3% and 8.5% at 5%'
 'Monthly payments: $44.17 at 3% and $41.67 at 5%; True annual interest rates: 6.2% at 3% and 11.1% at 5%'
 'Monthly payments: $42.92 at 3% and $43.75 at 5%; True annual interest rates: 4.5% at 3% and 8.2% at 5%']",B
368,"Lore Ltd. estimates that its dividend growth will be 13% per year for the next five years. It will then settle to a sustainable, constant, and continuing rate of 5%. Let’s say that the current year’s dividend is $14 and the required rate of return (or discount rate) is 12%. What is the current fair value of Lore Ltd. stock?","['350.00' '275.00' '245.20' '265.50' '325.60' '315.75' '300.00' '280.30'
 '291.45' '360.40']",I
778,"Sometimes, when the percentages in a discount series are familiar fractions, such as 33(1/2)% = (1/3) , 12(1/2)% = (1/8) or 6(1/4)% = (1/16) you can solve the problem more easily if you change the order of the discounting. What is the net amount you get from (a) $63.60 less 16(2/3)% and 10% (b) $126.00 less 2% and 66(2/3)%?","['$54.24, $44.52' '$50.88, $37.80' '$47.70, $41.16' '$53.00, $42.00'
 '$5.30, $0.84' '$48.96, $38.88' '$42.84, $39.06' '$45.30, $43.20'
 '$60.00, $40.00' '$10.60, $84.00']",C
323,"Mike sold an automobile that cost him $12,640 for $11,628.80. What percent is the selling price of the cost?",['89%' '92%' '95%' '96%' '94%' '88%' '87%' '85%' '90%' '93%'],B
803,"A $225 refrigerator can be purchased on the installment plan for 15% down. The balance due, along with a 7% a year service charge, is to be paid in 18 equal monthly payments. If Mr.Trautenpurchased the refrigerator on the installment plan, what was his down-payment? What was the amount of each monthly payment?","['$25 and $14.80' '$33.75 and $11.74' '$40 and $15' '$45 and $9.50'
 '$22.50 and $13.25' '$35 and $10' '$30 and $12' '$37.50 and $10.25'
 '$27 and $12.15' '$33.75 and $10.50']",B
535,"What is the annual cost of a 20-payment life policy with a face of $4,000 for a 25-year old, if the payments are made (a) annually (b) semiannually (c) quarterly?","['Annual: $91.80, Semiannual: $88.28, Quarterly: $90.04'
 'Annual: $82.50, Semiannual: $41.25, Quarterly: $20.63'
 'Annual: $45.02, Semiannual: $22.95, Quarterly: $88.28'
 'Annual: $75.50, Semiannual: $37.75, Quarterly: $19.00'
 'Annual: $100.00, Semiannual: $51.00, Quarterly: $26.00'
 'Annual: $95.76, Semiannual: $47.88, Quarterly: $23.94'
 'Annual: $60.24, Semiannual: $30.12, Quarterly: $15.06'
 'Annual: $88.28, Semiannual: $90.04, Quarterly: $91.80'
 'Annual: $90.04, Semiannual: $91.80, Quarterly: $88.28'
 'Annual: $110.32, Semiannual: $55.16, Quarterly: $27.58']",H
529,"The selling price of a piano which cost $18,000 is $22,950. Find the percent the selling price is of the cost.",['125%' '127.5%' '150%' '135%' '115%' '130%' '120%' '110%' '122.5%' '140%'],B
1076,"A grantor executed a deed by which he conveyed his apartment building for a consideration of one dollar, receipt of which was acknowledged, ""to my son for life, then to my uncle for life, but if my uncle moves to another state, to my brother for the life of my uncle, then to the heirs of my uncle if my uncle does not move to another state, and to the heirs of my brother if my uncle does move to another state. "" This deed was promptly recorded. During the son's lifetime, the brother's interest may best be described as a (an)","['contingent remainder pur autre vie.' 'vested remainder absolute.'
 'estate pur autre vie.' 'shifting executory interest pur autre vie.'
 'vested remainder pur autre vie.' 'contingent remainder in fee simple.'
 'contingent executory interest pur autre vie.'
 'vested remainder in fee simple.'
 'vested executory interest pur autre vie.'
 'contingent remainder absolute.']",D
892,"A resident announced his candidacy for state representative. A law in the state requires new political entrants (regardless of party affiliation) to obtain three times the number of signatures as other candidates who have run for office previously. The resident, however, failed to obtain the necessary number of authenticating signatures to have his name placed on the ballot. The resident filed a complaint in federal district court alleging the unconstitutionality of the authenticating requirement. Which of the following, if established, is the state's strongest argument for sustaining the validity of the authenticating requirement?","['A similar authenticating statute was held to be constitutional in another state the previous year.'
 'Other states also have similar authenticating requirements.'
 'The authenticating requirement ensures that only serious and committed candidates run for office.'
 'The resident did not actively campaign to get the necessary signatures.'
 'The authenticating requirement was introduced to reduce the number of frivolous candidates.'
 'The authenticating requirement was necessary to further a compelling state interest.'
 'Two other candidates had successfully petitioned to have their names included on the ballot.'
 'The resident has a history of fraudulent activities.'
 'The resident could have obtained the necessary signatures if he had started collecting them earlier.'
 ""The resident's petition contained a large number of false signatures.""]",F
